Stage Name,Date of Birth,Group,Debut,Company,Country,Height,Weight,Gender
Ellin,1990-02-04,Crayon Pop,2012-07-18,Chrome,South Korea,165.0,44.0,F
Eric,1979-02-16,Shinhwa,1998-03-24,SM,South Korea,180.0,70.0,M
Eric,2000-12-22,The Boyz,2017-12-31,Cre.Ker,South Korea,171.0,56.0,M
Eson,1996-12-28,We In The Zone,2019-05-27,Choon,South Korea,177.0,63.0,M
EunB,2000-11-23,PRECIOUS,2020-09-23,Umi,South Korea,164.0,49.0,F
Eunbin,2000-06-01,CLC,2015-03-19,Cube,South Korea,167.0,48.0,F
Eunchae,1999-06-10,bugAboo,2021-10-25,A team,South Korea,154.0,38.0,F
Eunhyuk,1986-04-04,Super Junior,2005-06-11,SM,South Korea,176.0,58.0,M
Eunice,1991-02-09,DIA,2015-07-14,MBK,South Korea,166.0,49.0,F
Eunjin,1997-05-23,Playback,2015-06-25,Coridel,South Korea,165.0,49.0,F
Eunjo,2002-07-03,Dreamnote,2018-07-11,iME,South Korea,164.0,46.0,F
Eunjung,1988-12-12,T-ara,2009-07-29,MBK,South Korea,167.0,47.0,F
Eunkwang,1990-11-22,BtoB,2012-03-21,Cube,South Korea,173.0,62.0,M
Eunsang,2002-10-26,YOUNITE,2022-04-20,Brand New,South Korea,180.0,58.0,M
Eunwoo,1998-01-07,Hinapia,2019-03-11,Alseulbit,South Korea,167.0,48.0,F
Gaeul,1999-08-05,Favorite,2017-05-07,Astory,South Korea,164.0,48.0,F
Gaeul,2002-09-24,IVE,2021-01-12,Starship,South Korea,166.0,46.0,F
G-Dragon,1988-08-18,BIGBANG,2006-08-19,YG,South Korea,177.0,58.0,M
Gikwang,1990-03-30,Highlight,2009-10-14,Around Us,South Korea,171.0,58.0,M
GK,1998-09-29,DKB,2020-03-02,Brave,South Korea,177.0,60.0,M
Goeun,1999-03-09,Purple Kiss,2021-03-15,RBW,South Korea,160.0,44.0,F
Gongchan,1993-08-14,B1A4,2010-04-19,WM,South Korea,181.0,60.0,M
Gunmin,1994-03-10,B.I.G,2014-09-07,GH,South Korea,177.0,64.0,M
Haein,1995-05-19,LABOUM,2014-08-27,NH,South Korea,162.0,45.0,F
Haemin,2004-03-16,8TURN,2023-01-30,MNH,South Korea,183.0,63.0,M
Haeyoon,1996-10-01,Cherry Bullet,2019-01-21,FNC,South Korea,157.0,43.0,F
Hamin,1997-10-24,ENOi,2019-04-19,KITHEWHALE,South Korea,183.0,65.0,M
Han Hyeri,1997-08-24,I.B.I,2014-10-29,Star Crew,South Korea,159.0,42.0,F
Hanbyul,2005-01-07,PRECIOUS,2020-09-23,Umi,South Korea,167.0,49.0,F
Haneul,2000-11-28,Saturday,2018-07-18,SD,South Korea,158.0,43.0,F
Hanna,1994-02-19,MIXX,2016-02-05,Chiko,South Korea,170.0,48.0,F
Hanwoom,2001-05-06,PRECIOUS,2020-09-23,Umi,South Korea,160.0,43.0,F
Haram,2001-01-13,Billlie,2021-10-11,MYSTIC,South Korea,161.0,45.0,F
Harin,1995-11-21,Lusty,2019-06-26,babaplay,South Korea,160.0,43.0,F
Harin,2000-05-26,Pink Fantasy,2018-10-28,My Doll,South Korea,164.0,48.0,F
Harry-June,2004-01-01,DKB,2020-03-02,Brave,South Korea,178.0,61.0,M
Heechan,1999-07-31,DKB,2020-03-02,Brave,South Korea,176.0,63.0,M
Heechul,1983-10-07,Super Junior,2005-06-11,SM,South Korea,179.0,60.0,M
Heedo,1996-04-22,B.I.G,2014-09-07,GH,South Korea,180.0,60.0,M
Heejun,1996-08-05,KNK,2016-03-03,YNB,South Korea,180.0,61.0,M
Heeseok,1997-10-06,Limitless,2019-09-07,ONO,South Korea,180.0,61.0,M
Heesun,2005-01-25,Pink Fantasy,2018-10-28,My Doll,South Korea,162.0,45.0,F
Henry,1989-11-10,Super Junior-M,2005-06-11,SM,Canada,176.0,63.0,M
HighTop,1994-03-19,Bigflo,2014-07-19,HO,South Korea,178.0,60.0,M
Himchan,1990-04-19,B.A.P,2012-01-27,TS,South Korea,180.0,69.0,M
Hongbin,1993-09-29,VIXX,2012-05-24,Jellyfish,South Korea,181.0,62.0,M
Hongseob,1998-08-01,24K,2012-06-09,Choeun,South Korea,177.0,58.0,M
Hoshi,1996-06-15,Seventeen,2015-05-26,Pledis,South Korea,178.0,63.0,M
Hui,1995-07-18,24K,2012-06-09,Choeun,China,178.0,58.0,M
Huihyeon,1995-06-16,DIA,2015-07-14,MBK,South Korea,167.0,46.0,F
Hwarang,2001-04-23,TEMPEST,2022-02-03,Yuehua,South Korea,179.0,61.0,M
Hwasa,1995-07-23,Mamamoo,2014-06-18,RBW,South Korea,162.0,44.0,F
Hwi,1999-04-02,Ciipher,2021-03-15,Rain,South Korea,172.0,61.0,M
Hyebin,1996-12-01,MOMOLAND,2016-09-11,Double Kick,South Korea,165.0,44.0,F
Hyejeong,1993-10-08,AoA,2012-07-30,FNC,South Korea,170.0,48.0,F
Hyemi,1991-03-04,9Muses,2010-12-08,Star Empire,South Korea,171.0,46.0,F
Hyeongjun,2002-11-30,CRAVITY,2020-04-14,Starship,South Korea,174.0,55.0,M
Hyeri,1994-09-06,Girl's Day,2010-09-07,DreamT,South Korea,167.0,46.0,F
Hyojung,1994-07-28,Oh My Girl,2015-04-21,WM,South Korea,160.0,46.0,F
Hyomin,1989-05-30,T-ara,2009-07-29,MBK,South Korea,167.0,43.0,F
Hyosun,1998-10-07,H.U.B,2017-09-02,New Planet,South Korea,170.0,54.0,F
Hyoyeon,1989-09-22,SNSD,2021-04-08,Good Luck,South Korea,158.0,48.0,F
Hyuk,2000-03-15,OMEGA X,2016-10-17,JT Corea,South Korea,183.0,67.0,M
Hyuk,1995-05-07,VIXX,2012-05-24,Jellyfish,South Korea,181.0,62.0,M
Hyun,1997-08-25,7 O'clock,2014-08-26,Jungle,South Korea,176.0,58.0,M
Hyunbin,2000-02-26,Ciipher,2021-03-15,Rain,South Korea,177.0,61.0,M
Hyungseo,2001-06-25,CLASS:y,2022-05-05,Universal,South Korea,160.0,44.0,F
Hyungseop,1999-09-08,TEMPEST,2022-02-03,Yuehua,South Korea,173.0,58.0,M
Hyunjae,1997-09-13,The Boyz,2017-12-31,Cre.Ker,South Korea,180.0,62.0,M
Hyunseong,1993-09-06,Boyfriend,2011-05-26,Starship,South Korea,178.0,58.0,M
Hyunsik,1992-07-03,BtoB,2012-03-21,Cube,South Korea,177.0,66.0,M
Hyunsoo,1995-12-04,D1CE,2019-01-08,Happyface,South Korea,176.0,60.0,M
Hyunuk,1994-09-26,IN2IT,2016-01-27,Star Empire,South Korea,179.0,63.0,M
Hyunyoung,1991-11-08,Rainbow,2009-12-11,DSP,South Korea,160.0,41.0,F
Ida,2000-05-19,MAJORS,2021-09-03,ANS,South Korea,163.0,43.0,F
Ilhoon,1994-04-10,BtoB,2012-03-21,Cube,South Korea,176.0,64.0,M
Inho,1993-06-21,IN2IT,2016-01-27,Star Empire,South Korea,177.0,58.0,M
Inpyo,1995-08-14,IN2IT,2016-01-27,Star Empire,South Korea,182.0,66.0,M
Inseong,1994-01-07,KNK,2016-03-03,YNB,South Korea,183.0,71.0,M
Isa,2002-01-23,STAYC,2020-12-11,Hi-Up,South Korea,165.0,45.0,F
Isaac,1994-12-12,IN2IT,2016-01-27,Star Empire,Malaysia,176.0,56.0,M
Isol,1997-01-05,Lusty,2019-06-26,babaplay,South Korea,166.0,48.0,F
J,2004-09-12,STAYC,2020-12-11,Hi-Up,South Korea,170.0,48.0,F
Jackson,1994-03-28,GOT7,2014-01-16,JYP,Hong Kong,174.0,63.0,M
Jacob,1997-05-30,The Boyz,2017-12-31,Cre.Ker,South Korea,175.0,60.0,M
Jacob,1996-07-09,VAV,2015-10-31,A team,China,184.0,63.0,M
Jaechan,2001-06-12,Dongkiz,2019-04-24,Dongyo,South Korea,177.0,58.0,M
Jaeho,1992-09-17,HISTORY,2013-04-26,LOEN,South Korea,174.0,58.0,M
Jaehyo,1990-12-23,Block B,2011-04-15,KQ,South Korea,182.0,60.0,M
Jaekyung,1988-12-24,Rainbow,2009-12-11,DSP,South Korea,168.0,45.0,F
Jaeyun,2002-02-07,8TURN,2023-01-30,MNH,New Zealand,178.0,64.0,M
Jane,1997-12-20,MOMOLAND,2016-09-11,Double Kick,South Korea,167.0,46.0,F
JB,1994-06-01,GOT7,2014-01-16,JYP,South Korea,179.0,63.0,M
Jeff,2005-04-21,EPEX,2021-08-06,C9,South Korea,179.0,61.0,M
Jennie,1996-01-16,BLACKPINK,2016-08-08,YG,South Korea,163.0,50.0,F
Jeonggyu,1997-05-11,7 O'clock,2014-08-26,Jungle,South Korea,181.0,62.0,M
Jeonghan,1995-04-10,Seventeen,2015-05-26,Pledis,South Korea,175.0,54.0,M
Jeongmin,1994-01-02,Boyfriend,2011-05-26,Starship,South Korea,173.0,60.0,M
Jeonguk,1993-03-20,24K,2012-06-09,Choeun,South Korea,178.0,58.0,M
Jewon,1998-11-28,NINE.i,2022-03-30,FirstOne,South Korea,170.0,55.0,M
J-Hoon,1990-07-15,B.I.G,2014-09-07,GH,South Korea,172.0,62.0,M
J-Hope,1994-02-18,BTS,2013-06-13,Big Hit,South Korea,177.0,65.0,M
Ji Hansol,1994-11-21,Newkidd,2019-04-25,J-FLO,South Korea,182.0,63.0,M
Jiae,1993-05-21,Lovelyz,2014-11-17,Woollim,South Korea,163.0,43.0,F
Jiahn,1992-01-04,IN2IT,2016-01-27,Star Empire,South Korea,176.0,57.0,M
Jihun,1995-02-20,KNK,2016-03-03,YNB,South Korea,186.0,73.0,M
Jihyo,2001-04-22,PRECIOUS,2020-09-23,Umi,South Korea,166.0,49.0,F
Jimin,1995-10-13,BTS,2013-06-13,Big Hit,South Korea,175.0,61.0,M
Jin,1992-04-12,BTS,2013-06-13,Big Hit,South Korea,179.0,63.0,M
JIN,1996-12-06,Lovelyz,2014-11-17,Woollim,South Korea,165.0,47.0,F
Jinhong,1998-02-01,24K,2012-06-09,Choeun,South Korea,180.0,53.0,M
Jinhui,1996-11-21,Lusty,2019-06-26,babaplay,South Korea,160.0,42.0,F
Jinhwa,2002-01-15,BLITZERS,2021-12-05,Wuzo,South Korea,180.0,64.0,M
Jinsung,2002-03-30,1the9,2019-09-02,MBK,South Korea,176.0,58.0,M
Jinwoo,2004-09-13,Ghost9,2020-09-23,Maroo,South Korea,176.0,57.0,M
Jinyoung,1997-05-31,D1CE,2019-01-08,Happyface,South Korea,170.0,51.0,M
Jinyoung,1994-09-22,GOT7,2014-01-16,JYP,South Korea,178.0,63.0,M
Jisoo,1995-03-01,BLACKPINK,2016-08-08,YG,South Korea,162.0,45.0,F
Jisoo,1994-11-02,Lovelyz,2014-11-17,Woollim,South Korea,165.0,46.0,F
Jisook,1990-07-18,Rainbow,2009-12-11,DSP,South Korea,164.0,41.0,F
Jisun,1989-10-17,S#aFLA,2021-07-14,Winnerzone,South Korea,165.0,46.0,F
Jiwon,1997-03-17,BOTOPASS,2020-08-26,WKS ENE,South Korea,165.0,45.0,F
Jiyeon,1993-07-06,T-ara,2009-07-29,MBK,South Korea,167.0,45.0,F
Jonghyeong,2002-04-13,Dongkiz,2019-04-24,Dongyo,South Korea,178.0,65.0,M
Jongup,1995-06-02,B.A.P,2012-01-27,TS,South Korea,176.0,66.0,M
Joo E,1999-08-18,MOMOLAND,2016-09-11,Double Kick,South Korea,164.0,45.0,F
Jooan,1996-04-10,We In The Zone,2019-05-27,Choon,South Korea,173.0,58.0,M
Joshua,1995-12-30,Seventeen,2015-05-26,Pledis,USA,176.0,63.0,M
Juhaknyeon,1999-09-03,The Boyz,2017-12-31,Cre.Ker,South Korea,175.0,58.0,M
Juhyeon,2004-08-04,LIGHTSUM,2021-10-06,Cube,South Korea,171.0,48.0,F
Jun,1996-10-06,Seventeen,2015-05-26,Pledis,China,180.0,63.0,M
Jun Jin,1980-08-19,Shinhwa,1998-03-24,SM,South Korea,182.0,75.0,M
Jun. K,1988-01-15,2PM,2008-04-07,JYP,South Korea,180.0,68.0,M
Junghoon,2000-02-14,OMEGA X,2016-10-17,JT Corea,South Korea,177.0,61.0,M
Jungkook,1997-01-09,BTS,2013-06-13,Big Hit,South Korea,178.0,66.0,M
Jungmo,2000-05-02,CRAVITY,2020-04-14,Starship,South Korea,181.0,58.0,M
Junho,1990-01-25,2PM,2008-04-07,JYP,South Korea,178.0,67.0,M
Junho,2002-09-07,DRIPPIN,2020-10-26,Woollim,South Korea,178.0,63.0,M
Junhyuk,2000-05-16,Mirae,2021-03-17,DSP,South Korea,180.0,63.0,M
Junhyung,1989-12-19,Highlight,2009-10-14,Around Us,South Korea,178.0,64.0,M
Junseo,2001-01-16,DKB,2020-03-02,Brave,South Korea,182.0,67.0,M
Junseo,2001-11-20,WEi,2020-05-10,OUI,South Korea,177.0,64.0,M
Junseong,2002-09-29,Ghost9,2020-09-23,Maroo,South Korea,170.0,55.0,M
Juri,1997-03-10,Rocket Punch,2019-07-08,Woollim,Japan,160.0,44.0,F
Juyeon,2001-06-11,Saturday,2018-07-18,SD,South Korea,164.0,44.0,F
Juyeon,1998-01-16,The Boyz,2017-12-31,Cre.Ker,South Korea,180.0,67.0,M
Kai,1994-01-14,EXO,2012-08-04,SM,South Korea,182.0,65.0,M
Karina,2000-11-04,aespa,2020-11-17,SM,South Korea,167.0,45.0,F
Keena,2002-09-07,FIFTY FIFTY,2022-11-18,ATTRAKT,South Korea,164.0,45.0,F
Kei,1995-03-20,Lovelyz,2014-11-17,Woollim,South Korea,162.0,47.0,F
Keita,2001-04-07,Ciipher,2021-03-15,Rain,Japan,170.0,59.0,M
Ken,1992-06-04,VIXX,2012-05-24,Jellyfish,South Korea,180.0,65.0,M
Keum,2003-05-14,EPEX,2021-08-06,C9,South Korea,176.0,57.0,M
Keumjo,1992-12-17,9Muses,2010-12-08,Star Empire,South Korea,167.0,48.0,F
Kevin,2000-12-01,OMEGA X,2016-10-17,JT Corea,South Korea,167.0,51.0,M
Kevin,1998-02-23,The Boyz,2017-12-31,Cre.Ker,Canada,176.0,66.0,M
Key,1991-09-23,SHINee,2008-05-25,SM,South Korea,179.0,59.0,M
Khael,2002-01-18,Mirae,2021-03-17,DSP,South Korea,178.0,58.0,M
Kid,1995-10-26,VARSITY,2017-05-01,GKC,South Korea,177.0,58.0,M
Kim Yoon,1994-02-17,DUSTIN,2020-06-01,LPA,South Korea,183.0,65.0,M
Kisu,1990-02-10,24K,2012-06-09,Choeun,South Korea,179.0,60.0,M
Kyeongheon,1998-06-01,We In The Zone,2019-05-27,Choon,South Korea,175.0,60.0,M
Kyuhyun,1988-03-02,Super Junior,2005-06-11,SM,South Korea,180.0,68.0,M
Kyulkyung,1998-12-16,Pristin,2017-03-21,Pledis,China,167.0,49.0,F
Kyungil,1987-11-28,HISTORY,2013-04-26,LOEN,South Korea,183.0,72.0,M
Kyungmin,2004-10-28,8TURN,2023-01-30,MNH,South Korea,187.0,60.0,M
Kyungri,1990-05-07,9Muses,2010-12-08,Star Empire,South Korea,170.0,50.0,F
Kyungyoon,2000-02-21,Dongkiz,2019-04-24,Dongyo,South Korea,177.0,58.0,M
L,1992-03-13,Infinite,2010-09-06,Woollim,South Korea,180.0,60.0,M
Laon,1995-12-19,ENOi,2019-04-19,KITHEWHALE,South Korea,177.0,60.0,M
Lara,2000-09-08,Dreamnote,2018-07-11,iME,South Korea,161.0,44.0,F
Lay,1991-07-10,EXO,2012-08-04,SM,China,177.0,60.0,M
Layeon,1998-08-13,Purplebeck,2019-06-24,Majesty,South Korea,170.0,51.0,F
Lee Haein,1992-04-07,I.B.I,2014-10-29,Star Crew,South Korea,165.0,49.0,F
Lee Hyeop,1999-08-13,DRIPPIN,2020-10-26,Woollim,South Korea,177.0,57.0,M
Lee Soo,2001-06-27,PRECIOUS,2020-09-23,Umi,South Korea,163.0,47.0,F
Lee Suhyun,1996-05-11,I.B.I,2014-10-29,Star Crew,South Korea,167.0,50.0,F
Leeseo,2007-02-21,IVE,2021-01-12,Starship,South Korea,170.0,48.0,F
Leeteuk,1983-01-07,Super Junior,2005-06-11,SM,South Korea,179.0,59.0,M
Leo,1990-10-11,VIXX,2012-05-24,Jellyfish,South Korea,183.0,63.0,M
Lew,2001-05-04,TEMPEST,2022-02-03,Yuehua,South Korea,170.0,55.0,M
Lim Jimin,2001-05-22,JUST B,2021-06-30,Bluedot,South Korea,178.0,59.0,M
Lime,1993-01-19,Hello Venus,2012-09-05,Fantagio,South Korea,169.0,50.0,F
Lisa,1997-03-27,BLACKPINK,2016-08-08,YG,Thailand,170.0,46.0,F
Liyah,2000-11-05,MIXX,2016-02-05,Chiko,South Korea,175.0,52.0,F
Liz,2004-11-21,IVE,2021-01-12,Starship,South Korea,170.0,49.0,F
Lou,1996-12-21,VAV,2015-10-31,A team,South Korea,187.0,69.0,M
Louis,1999-04-23,BLANK2Y,2022-05-24,Keystone,South Korea,172.0,62.0,M
Lune,2000-02-27,DKB,2020-03-02,Brave,South Korea,176.0,55.0,M
Manny,2001-11-17,VARSITY,2017-05-01,GKC,China,170.0,64.0,M
Mark,1993-04-09,GOT7,2014-01-16,JYP,USA,175.0,59.0,M
Mayna,2000-12-05,HOT ISSUE,2017-05-17,FNC,China,170.0,47.0,F
Mijoo,1994-09-23,Lovelyz,2014-11-17,Woollim,South Korea,167.0,47.0,F
Mikey,2001-05-05,BLANK2Y,2022-05-24,Keystone,Japan,176.0,58.0,M
Mimi,1995-01-05,Oh My Girl,2015-04-21,WM,South Korea,163.0,50.0,F
Min,1997-10-16,We In The Zone,2019-05-27,Choon,South Korea,171.0,50.0,M
Mina,1999-04-12,Gugudan,2016-06-28,Jellyfish,South Korea,162.0,48.0,F
Minah,1993-05-13,Girl's Day,2010-09-07,DreamT,South Korea,165.0,47.0,F
Mingyu,1997-06-04,Seventeen,2015-05-26,Pledis,South Korea,185.0,65.0,M
Minhee,2002-09-17,CRAVITY,2020-04-14,Starship,South Korea,185.0,58.0,M
Minho,2002-10-14,8TURN,2023-01-30,MNH,South Korea,179.0,59.0,M
Minho,1991-09-12,SHINee,2008-05-25,SM,South Korea,181.0,60.0,M
Minhyuk,1990-11-29,BtoB,2012-03-21,Cube,South Korea,173.0,61.0,M
Mini,2000-12-06,Purplebeck,2019-06-24,Majesty,South Korea,168.0,47.0,F
Minpyo,1994-11-15,B.I.G,2014-09-07,GH,South Korea,173.0,57.0,M
Minseo,2002-05-13,DRIPPIN,2020-10-26,Woollim,South Korea,177.0,53.0,M
Minseo,2003-03-21,Saturday,2018-07-18,SD,South Korea,163.0,45.0,F
Minsu,1993-04-15,Boys Republic,2013-03-06,Happy Tribe,South Korea,172.0,55.0,M
Mint,1994-06-23,Tiny-G,2012-08-23,GNG,Thailand,150.0,42.0,F
Minwoo,1995-07-31,Boyfriend,2011-05-26,Starship,South Korea,174.0,60.0,M
Minwoo,1979-07-28,Shinhwa,1998-03-24,SM,South Korea,172.0,60.0,M
Miso,2000-10-25,Dreamnote,2018-07-11,iME,South Korea,160.0,43.0,F
MiU,2003-09-01,LIMELIGHT,2023-02-17,143,Japan,164.0,42.0,F
Moon Sua,1999-09-09,Billlie,2021-10-11,MYSTIC,South Korea,167.0,47.0,F
Moonbyul,1992-12-22,Mamamoo,2014-06-18,RBW,South Korea,165.0,45.0,F
Moonvok,1995-11-04,Limitless,2019-09-07,ONO,South Korea,168.0,48.0,M
Mu,2003-09-14,EPEX,2021-08-06,C9,South Korea,184.0,63.0,M
Munik,2001-03-20,Dongkiz,2019-04-24,Dongyo,South Korea,173.0,50.0,M
Myungho,2001-12-10,8TURN,2023-01-30,MNH,South Korea,177.0,62.0,M
N,1990-06-30,VIXX,2012-05-24,Jellyfish,South Korea,180.0,65.0,M
Nakyung,2000-01-06,fromis_9,2018-01-24,Off The Record,South Korea,159.0,42.0,F
Nancy,2000-04-13,MOMOLAND,2016-09-11,Double Kick,South Korea,162.0,45.0,F
Nara,1991-03-13,Hello Venus,2012-09-05,Fantagio,South Korea,172.0,52.0,F
Narachan,1996-09-23,MONT,2014-05-14,Starship,South Korea,178.0,58.0,M
Nayoung,1995-11-23,Gugudan,2016-06-28,Jellyfish,South Korea,169.0,50.0,F
Nayoung,2002-11-30,LIGHTSUM,2021-10-06,Cube,South Korea,154.0,43.0,F
Nayoung,1995-12-18,Pristin,2017-03-21,Pledis,South Korea,171.0,51.0,F
Nayun,1998-07-31,MOMOLAND,2016-09-11,Double Kick,South Korea,167.0,48.0,F
New,1998-04-26,The Boyz,2017-12-31,Cre.Ker,South Korea,175.0,51.0,M
Nichkhun,1988-06-24,2PM,2008-04-07,JYP,Thailand,180.0,64.0,M
Nina,2003-03-15,IRRIS,2022-06-07,Mellow,Australia,174.0,51.0,F
Ningning,2002-10-23,aespa,2020-11-17,SM,China,165.0,43.0,F
Noeul,1989-10-05,Rainbow,2009-12-11,DSP,South Korea,164.0,44.0,F
